precision,FP,FN,atributos,Total,confianza,soporte,SA,SF
0.615,0,69,36,0,0.95,0.18,10,8
0.631,60,6,37,1218,0.5,0.0,10,9
0.631,60,6,37,1129,0.5,0.001,10,9
0.631,60,6,37,1024,0.5,0.003,10,9
0.631,60,6,37,791,0.5,0.006,10,9
0.631,60,6,37,474,0.5,0.011,10,9
0.631,60,6,37,76,0.5,0.045,10,9
0.777,16,24,37,1,0.5,0.18,10,9
0.771,17,24,37,542,0.8,0.0,10,9
0.771,17,24,37,453,0.8,0.001,10,9
0.771,17,24,37,418,0.8,0.003,10,9
0.771,17,24,37,370,0.8,0.006,10,9
0.771,17,24,37,206,0.8,0.011,10,9
0.765,12,30,37,19,0.8,0.045,10,9
0.615,0,69,37,0,0.8,0.18,10,9
0.788,9,29,37,415,0.85,0.0,10,9
0.788,9,29,37,326,0.85,0.001,10,9
0.793,8,29,37,291,0.85,0.003,10,9
0.793,8,29,37,243,0.85,0.006,10,9
0.782,8,31,37,154,0.85,0.011,10,9
0.782,3,36,37,11,0.85,0.045,10,9
0.615,0,69,37,0,0.85,0.18,10,9
0.777,7,33,37,334,0.9,0.0,10,9
0.777,7,33,37,245,0.9,0.001,10,9
0.782,6,33,37,210,0.9,0.003,10,9
0.793,4,33,37,162,0.9,0.006,10,9
0.782,3,36,37,109,0.9,0.011,10,9
0.777,3,37,37,10,0.9,0.045,10,9
0.615,0,69,37,0,0.9,0.18,10,9
0.726,5,44,37,267,0.95,0.0,10,9
0.726,5,44,37,178,0.95,0.001,10,9
0.732,4,44,37,143,0.95,0.003,10,9
0.743,2,44,37,95,0.95,0.006,10,9
0.715,1,50,37,42,0.95,0.011,10,9
0.687,1,55,37,6,0.95,0.045,10,9
0.615,0,69,37,0,0.95,0.18,10,9
0.631,60,6,38,1199,0.5,0.0,10,10
0.631,60,6,38,1098,0.5,0.001,10,10
0.631,60,6,38,990,0.5,0.003,10,10
0.631,60,6,38,763,0.5,0.006,10,10
0.631,60,6,38,471,0.5,0.011,10,10
0.631,60,6,38,76,0.5,0.045,10,10
0.777,16,24,38,1,0.5,0.18,10,10
0.771,17,24,38,524,0.8,0.0,10,10
0.771,17,24,38,423,0.8,0.001,10,10
0.771,17,24,38,384,0.8,0.003,10,10
0.771,17,24,38,335,0.8,0.006,10,10
0.771,17,24,38,192,0.8,0.011,10,10
0.765,12,30,38,19,0.8,0.045,10,10
0.615,0,69,38,0,0.8,0.18,10,10
0.782,10,29,38,401,0.85,0.0,10,10
0.788,9,29,38,300,0.85,0.001,10,10
0.793,8,29,38,261,0.85,0.003,10,10
0.793,8,29,38,212,0.85,0.006,10,10
0.782,8,31,38,137,0.85,0.011,10,10
0.782,3,36,38,12,0.85,0.045,10,10
0.615,0,69,38,0,0.85,0.18,10,10
0.771,8,33,38,329,0.9,0.0,10,10
0.777,7,33,38,228,0.9,0.001,10,10
0.782,6,33,38,189,0.9,0.003,10,10
0.793,4,33,38,140,0.9,0.006,10,10
0.782,3,36,38,98,0.9,0.011,10,10
0.777,3,37,38,11,0.9,0.045,10,10
0.615,0,69,38,0,0.9,0.18,10,10
0.721,6,44,38,272,0.95,0.0,10,10
0.726,5,44,38,171,0.95,0.001,10,10
0.732,4,44,38,132,0.95,0.003,10,10
0.743,2,44,38,83,0.95,0.006,10,10
0.715,1,50,38,41,0.95,0.011,10,10
0.687,1,55,38,7,0.95,0.045,10,10
0.615,0,69,38,0,0.95,0.18,10,10
0.631,60,6,39,1247,0.5,0.0,10,11
0.631,60,6,39,1142,0.5,0.001,10,11
0.631,60,6,39,1008,0.5,0.003,10,11
0.631,60,6,39,773,0.5,0.006,10,11
0.631,60,6,39,459,0.5,0.011,10,11
0.631,60,6,39,72,0.5,0.045,10,11
0.777,16,24,39,1,0.5,0.18,10,11
0.771,17,24,39,555,0.8,0.0,10,11
0.771,17,24,39,450,0.8,0.001,10,11
0.771,17,24,39,399,0.8,0.003,10,11
0.771,17,24,39,352,0.8,0.006,10,11
0.771,17,24,39,198,0.8,0.011,10,11
0.765,12,30,39,17,0.8,0.045,10,11
0.615,0,69,39,0,0.8,0.18,10,11
0.782,10,29,39,433,0.85,0.0,10,11
0.788,9,29,39,328,0.85,0.001,10,11
0.793,8,29,39,277,0.85,0.003,10,11
0.793,8,29,39,230,0.85,0.006,10,11
0.782,8,31,39,146,0.85,0.011,10,11
0.782,3,36,39,10,0.85,0.045,10,11
0.615,0,69,39,0,0.85,0.18,10,11
0.771,8,33,39,351,0.9,0.0,10,11
0.777,7,33,39,246,0.9,0.001,10,11
0.782,6,33,39,195,0.9,0.003,10,11
0.793,4,33,39,148,0.9,0.006,10,11
0.782,3,36,39,100,0.9,0.011,10,11
0.777,3,37,39,9,0.9,0.045,10,11
0.615,0,69,39,0,0.9,0.18,10,11
0.721,6,44,39,296,0.95,0.0,10,11
0.726,5,44,39,191,0.95,0.001,10,11
0.732,4,44,39,140,0.95,0.003,10,11
0.743,2,44,39,93,0.95,0.006,10,11
0.715,1,50,39,45,0.95,0.011,10,11
0.687,1,55,39,6,0.95,0.045,10,11
0.615,0,69,39,0,0.95,0.18,10,11
0.631,60,6,40,1255,0.5,0.0,10,12
0.631,60,6,40,1144,0.5,0.001,10,12
0.631,60,6,40,1015,0.5,0.003,10,12
0.631,60,6,40,771,0.5,0.006,10,12
0.631,60,6,40,449,0.5,0.011,10,12
0.631,60,6,40,67,0.5,0.045,10,12
0.777,16,24,40,1,0.5,0.18,10,12
0.771,17,24,40,539,0.8,0.0,10,12
0.771,17,24,40,428,0.8,0.001,10,12
0.771,17,24,40,389,0.8,0.003,10,12
0.771,17,24,40,338,0.8,0.006,10,12
0.771,17,24,40,186,0.8,0.011,10,12
0.765,12,30,40,17,0.8,0.045,10,12
0.615,0,69,40,0,0.8,0.18,10,12
0.788,9,29,40,416,0.85,0.0,10,12
0.788,9,29,40,305,0.85,0.001,10,12
0.793,8,29,40,266,0.85,0.003,10,12
0.793,8,29,40,215,0.85,0.006,10,12
0.782,8,31,40,133,0.85,0.011,10,12
0.782,3,36,40,10,0.85,0.045,10,12
0.615,0,69,40,0,0.85,0.18,10,12
0.777,7,33,40,344,0.9,0.0,10,12
0.777,7,33,40,233,0.9,0.001,10,12
0.782,6,33,40,194,0.9,0.003,10,12
0.793,4,33,40,143,0.9,0.006,10,12
0.782,3,36,40,91,0.9,0.011,10,12
0.777,3,37,40,9,0.9,0.045,10,12
0.615,0,69,40,0,0.9,0.18,10,12
0.726,5,44,40,296,0.95,0.0,10,12
0.726,5,44,40,185,0.95,0.001,10,12
0.732,4,44,40,146,0.95,0.003,10,12
0.743,2,44,40,95,0.95,0.006,10,12
0.715,1,50,40,43,0.95,0.011,10,12
0.687,1,55,40,6,0.95,0.045,10,12
0.615,0,69,40,0,0.95,0.18,10,12
0.631,60,6,41,1227,0.5,0.0,10,13
0.631,60,6,41,1112,0.5,0.001,10,13
0.631,60,6,41,972,0.5,0.003,10,13
0.631,60,6,41,749,0.5,0.006,10,13
0.631,60,6,41,454,0.5,0.011,10,13
0.631,60,6,41,70,0.5,0.045,10,13
0.777,16,24,41,1,0.5,0.18,10,13
0.771,17,24,41,551,0.8,0.0,10,13
0.771,17,24,41,436,0.8,0.001,10,13
0.771,17,24,41,383,0.8,0.003,10,13
0.771,17,24,41,335,0.8,0.006,10,13
0.771,17,24,41,192,0.8,0.011,10,13
0.765,12,30,41,20,0.8,0.045,10,13
0.615,0,69,41,0,0.8,0.18,10,13
0.782,10,29,41,429,0.85,0.0,10,13
0.788,9,29,41,314,0.85,0.001,10,13
0.793,8,29,41,261,0.85,0.003,10,13
0.793,8,29,41,213,0.85,0.006,10,13
0.782,8,31,41,139,0.85,0.011,10,13
0.782,3,36,41,12,0.85,0.045,10,13
0.615,0,69,41,0,0.85,0.18,10,13
0.771,8,33,41,355,0.9,0.0,10,13
0.777,7,33,41,240,0.9,0.001,10,13
0.782,6,33,41,187,0.9,0.003,10,13
0.793,4,33,41,139,0.9,0.006,10,13
0.782,3,36,41,96,0.9,0.011,10,13
0.777,3,37,41,10,0.9,0.045,10,13
0.615,0,69,41,0,0.9,0.18,10,13
0.721,6,44,41,300,0.95,0.0,10,13
0.726,5,44,41,185,0.95,0.001,10,13
0.732,4,44,41,132,0.95,0.003,10,13
0.743,2,44,41,84,0.95,0.006,10,13
0.715,1,50,41,41,0.95,0.011,10,13
0.687,1,55,41,6,0.95,0.045,10,13
0.615,0,69,41,0,0.95,0.18,10,13
0.631,60,6,33,1022,0.5,0.0,11,4
0.631,60,6,33,945,0.5,0.001,11,4
0.631,60,6,33,844,0.5,0.003,11,4
0.631,60,6,33,693,0.5,0.006,11,4
0.631,60,6,33,466,0.5,0.011,11,4
0.631,60,6,33,83,0.5,0.045,11,4
0.777,16,24,33,1,0.5,0.18,11,4
0.771,17,24,33,428,0.8,0.0,11,4
0.771,17,24,33,351,0.8,0.001,11,4
0.771,17,24,33,317,0.8,0.003,11,4
0.771,17,24,33,293,0.8,0.006,11,4
0.771,17,24,33,197,0.8,0.011,11,4
0.765,12,30,33,21,0.8,0.045,11,4
0.615,0,69,33,0,0.8,0.18,11,4
0.788,9,29,33,322,0.85,0.0,11,4
0.788,9,29,33,245,0.85,0.001,11,4
0.793,8,29,33,211,0.85,0.003,11,4
0.793,8,29,33,187,0.85,0.006,11,4
0.782,8,31,33,135,0.85,0.011,11,4
0.782,3,36,33,17,0.85,0.045,11,4
0.615,0,69,33,0,0.85,0.18,11,4
0.777,7,33,33,252,0.9,0.0,11,4
0.777,7,33,33,175,0.9,0.001,11,4
0.782,6,33,33,141,0.9,0.003,11,4
0.793,4,33,33,117,0.9,0.006,11,4
0.782,3,36,33,89,0.9,0.011,11,4
0.777,3,37,33,13,0.9,0.045,11,4
0.615,0,69,33,0,0.9,0.18,11,4
0.726,5,44,33,209,0.95,0.0,11,4
0.726,5,44,33,132,0.95,0.001,11,4
0.732,4,44,33,98,0.95,0.003,11,4
0.743,2,44,33,74,0.95,0.006,11,4
0.715,1,50,33,46,0.95,0.011,11,4
0.687,1,55,33,8,0.95,0.045,11,4
0.615,0,69,33,0,0.95,0.18,11,4
0.631,60,6,34,1154,0.5,0.0,11,5
0.631,60,6,34,1074,0.5,0.001,11,5
0.631,60,6,34,973,0.5,0.003,11,5
0.631,60,6,34,796,0.5,0.006,11,5
0.631,60,6,34,519,0.5,0.011,11,5
0.631,60,6,34,86,0.5,0.045,11,5
0.777,16,24,34,1,0.5,0.18,11,5
0.771,17,24,34,497,0.8,0.0,11,5
0.771,17,24,34,417,0.8,0.001,11,5
0.771,17,24,34,379,0.8,0.003,11,5
0.771,17,24,34,339,0.8,0.006,11,5
0.771,17,24,34,220,0.8,0.011,11,5
0.765,12,30,34,18,0.8,0.045,11,5
0.615,0,69,34,0,0.8,0.18,11,5
0.782,10,29,34,386,0.85,0.0,11,5
0.788,9,29,34,306,0.85,0.001,11,5
0.793,8,29,34,268,0.85,0.003,11,5
0.793,8,29,34,228,0.85,0.006,11,5
0.782,8,31,34,166,0.85,0.011,11,5
0.782,3,36,34,14,0.85,0.045,11,5
0.615,0,69,34,0,0.85,0.18,11,5
0.771,8,33,34,305,0.9,0.0,11,5
0.777,7,33,34,225,0.9,0.001,11,5
0.782,6,33,34,187,0.9,0.003,11,5
0.793,4,33,34,147,0.9,0.006,11,5
0.782,3,36,34,115,0.9,0.011,11,5
0.777,3,37,34,11,0.9,0.045,11,5
0.615,0,69,34,0,0.9,0.18,11,5
0.721,6,44,34,245,0.95,0.0,11,5
0.726,5,44,34,165,0.95,0.001,11,5
0.732,4,44,34,127,0.95,0.003,11,5
0.743,2,44,34,87,0.95,0.006,11,5
0.715,1,50,34,55,0.95,0.011,11,5
0.687,1,55,34,7,0.95,0.045,11,5
0.615,0,69,34,0,0.95,0.18,11,5
0.631,60,6,35,1173,0.5,0.0,11,6
0.631,60,6,35,1082,0.5,0.001,11,6
0.631,60,6,35,964,0.5,0.003,11,6
0.631,60,6,35,761,0.5,0.006,11,6
0.631,60,6,35,484,0.5,0.011,11,6
0.631,60,6,35,78,0.5,0.045,11,6
0.777,16,24,35,1,0.5,0.18,11,6
0.771,17,24,35,499,0.8,0.0,11,6
0.771,17,24,35,408,0.8,0.001,11,6
0.771,17,24,35,368,0.8,0.003,11,6
0.771,17,24,35,320,0.8,0.006,11,6
0.771,17,24,35,200,0.8,0.011,11,6
0.765,12,30,35,19,0.8,0.045,11,6
0.615,0,69,35,0,0.8,0.18,11,6
0.788,9,29,35,379,0.85,0.0,11,6
0.788,9,29,35,288,0.85,0.001,11,6
0.793,8,29,35,248,0.85,0.003,11,6
0.793,8,29,35,200,0.85,0.006,11,6
0.782,8,31,35,138,0.85,0.011,11,6
0.782,3,36,35,14,0.85,0.045,11,6
0.615,0,69,35,0,0.85,0.18,11,6
0.777,7,33,35,304,0.9,0.0,11,6
0.777,7,33,35,213,0.9,0.001,11,6
0.782,6,33,35,173,0.9,0.003,11,6
0.793,4,33,35,125,0.9,0.006,11,6
0.782,3,36,35,96,0.9,0.011,11,6
0.777,3,37,35,12,0.9,0.045,11,6
0.615,0,69,35,0,0.9,0.18,11,6
0.726,5,44,35,259,0.95,0.0,11,6
0.726,5,44,35,168,0.95,0.001,11,6
0.732,4,44,35,128,0.95,0.003,11,6
0.743,2,44,35,80,0.95,0.006,11,6
0.715,1,50,35,51,0.95,0.011,11,6
0.687,1,55,35,8,0.95,0.045,11,6
0.615,0,69,35,0,0.95,0.18,11,6
0.631,60,6,36,1110,0.5,0.0,11,7
0.631,60,6,36,1013,0.5,0.001,11,7
0.631,60,6,36,908,0.5,0.003,11,7
0.631,60,6,36,729,0.5,0.006,11,7
0.631,60,6,36,466,0.5,0.011,11,7
0.631,60,6,36,76,0.5,0.045,11,7
0.777,16,24,36,1,0.5,0.18,11,7
0.771,17,24,36,480,0.8,0.0,11,7
0.771,17,24,36,383,0.8,0.001,11,7
0.771,17,24,36,343,0.8,0.003,11,7
0.771,17,24,36,305,0.8,0.006,11,7
0.771,17,24,36,190,0.8,0.011,11,7
0.765,12,30,36,19,0.8,0.045,11,7
0.615,0,69,36,0,0.8,0.18,11,7
0.788,9,29,36,368,0.85,0.0,11,7
0.788,9,29,36,271,0.85,0.001,11,7
0.793,8,29,36,231,0.85,0.003,11,7
0.793,8,29,36,193,0.85,0.006,11,7
0.782,8,31,36,133,0.85,0.011,11,7
0.782,3,36,36,15,0.85,0.045,11,7
0.615,0,69,36,0,0.85,0.18,11,7
0.788,5,33,36,291,0.9,0.0,11,7
0.788,5,33,36,194,0.9,0.001,11,7
0.793,4,33,36,154,0.9,0.003,11,7
0.793,4,33,36,116,0.9,0.006,11,7
0.782,3,36,36,84,0.9,0.011,11,7
0.777,3,37,36,13,0.9,0.045,11,7
0.615,0,69,36,0,0.9,0.18,11,7
0.721,3,47,36,251,0.95,0.0,11,7
0.721,3,47,36,154,0.95,0.001,11,7
0.726,2,47,36,114,0.95,0.003,11,7
0.726,2,47,36,76,0.95,0.006,11,7
0.715,1,50,36,44,0.95,0.011,11,7
0.687,1,55,36,7,0.95,0.045,11,7
0.615,0,69,36,0,0.95,0.18,11,7
0.631,60,6,37,1144,0.5,0.0,11,8
0.631,60,6,37,1044,0.5,0.001,11,8
0.631,60,6,37,921,0.5,0.003,11,8
0.631,60,6,37,721,0.5,0.006,11,8
0.631,60,6,37,443,0.5,0.011,11,8
0.631,60,6,37,68,0.5,0.045,11,8
0.777,16,24,37,1,0.5,0.18,11,8
0.771,17,24,37,493,0.8,0.0,11,8
0.771,17,24,37,393,0.8,0.001,11,8
0.771,17,24,37,353,0.8,0.003,11,8
0.771,17,24,37,310,0.8,0.006,11,8
0.771,17,24,37,185,0.8,0.011,11,8
0.765,12,30,37,17,0.8,0.045,11,8
0.615,0,69,37,0,0.8,0.18,11,8
0.788,9,29,37,370,0.85,0.0,11,8
0.788,9,29,37,270,0.85,0.001,11,8
0.793,8,29,37,230,0.85,0.003,11,8
0.793,8,29,37,187,0.85,0.006,11,8
0.782,8,31,37,124,0.85,0.011,11,8
0.782,3,36,37,13,0.85,0.045,11,8
0.615,0,69,37,0,0.85,0.18,11,8
0.777,7,33,37,301,0.9,0.0,11,8
0.777,7,33,37,201,0.9,0.001,11,8
0.782,6,33,37,161,0.9,0.003,11,8
0.793,4,33,37,118,0.9,0.006,11,8
0.782,3,36,37,84,0.9,0.011,11,8
0.777,3,37,37,10,0.9,0.045,11,8
0.615,0,69,37,0,0.9,0.18,11,8
0.726,5,44,37,258,0.95,0.0,11,8
0.726,5,44,37,158,0.95,0.001,11,8
0.732,4,44,37,118,0.95,0.003,11,8
0.743,2,44,37,75,0.95,0.006,11,8
0.715,1,50,37,41,0.95,0.011,11,8
0.687,1,55,37,6,0.95,0.045,11,8
0.615,0,69,37,0,0.95,0.18,11,8
0.631,60,6,38,1206,0.5,0.0,11,9
0.631,60,6,38,1108,0.5,0.001,11,9
0.631,60,6,38,995,0.5,0.003,11,9
0.631,60,6,38,771,0.5,0.006,11,9
0.631,60,6,38,472,0.5,0.011,11,9
0.631,60,6,38,75,0.5,0.045,11,9
0.777,16,24,38,1,0.5,0.18,11,9
0.771,17,24,38,556,0.8,0.0,11,9
0.771,17,24,38,458,0.8,0.001,11,9
0.771,17,24,38,416,0.8,0.003,11,9
0.771,17,24,38,365,0.8,0.006,11,9
0.771,17,24,38,205,0.8,0.011,11,9
0.765,12,30,38,16,0.8,0.045,11,9
0.615,0,69,38,0,0.8,0.18,11,9
0.788,9,29,38,422,0.85,0.0,11,9
0.788,9,29,38,324,0.85,0.001,11,9
0.793,8,29,38,282,0.85,0.003,11,9
0.793,8,29,38,231,0.85,0.006,11,9
0.782,8,31,38,153,0.85,0.011,11,9
0.782,3,36,38,12,0.85,0.045,11,9
0.615,0,69,38,0,0.85,0.18,11,9
0.777,7,33,38,334,0.9,0.0,11,9
0.777,7,33,38,236,0.9,0.001,11,9
0.782,6,33,38,194,0.9,0.003,11,9
0.793,4,33,38,143,0.9,0.006,11,9
0.782,3,36,38,102,0.9,0.011,11,9
0.777,3,37,38,10,0.9,0.045,11,9
0.615,0,69,38,0,0.9,0.18,11,9
0.726,5,44,38,277,0.95,0.0,11,9
0.726,5,44,38,179,0.95,0.001,11,9
0.732,4,44,38,137,0.95,0.003,11,9
0.743,2,44,38,86,0.95,0.006,11,9
0.715,1,50,38,45,0.95,0.011,11,9
0.687,1,55,38,6,0.95,0.045,11,9
0.615,0,69,38,0,0.95,0.18,11,9
0.631,60,6,39,1194,0.5,0.0,11,10
0.631,60,6,39,1082,0.5,0.001,11,10
0.631,60,6,39,967,0.5,0.003,11,10
0.631,60,6,39,759,0.5,0.006,11,10
0.631,60,6,39,471,0.5,0.011,11,10
0.631,60,6,39,74,0.5,0.045,11,10
0.777,16,24,39,1,0.5,0.18,11,10
0.771,17,24,39,527,0.8,0.0,11,10
0.771,17,24,39,415,0.8,0.001,11,10
0.771,17,24,39,369,0.8,0.003,11,10
0.771,17,24,39,315,0.8,0.006,11,10
0.771,17,24,39,189,0.8,0.011,11,10
0.765,12,30,39,16,0.8,0.045,11,10
0.615,0,69,39,0,0.8,0.18,11,10
0.782,10,29,39,406,0.85,0.0,11,10
0.788,9,29,39,294,0.85,0.001,11,10
0.793,8,29,39,248,0.85,0.003,11,10
0.793,8,29,39,194,0.85,0.006,11,10
0.782,8,31,39,130,0.85,0.011,11,10
0.782,3,36,39,13,0.85,0.045,11,10
0.615,0,69,39,0,0.85,0.18,11,10
0.771,8,33,39,335,0.9,0.0,11,10
0.777,7,33,39,223,0.9,0.001,11,10
0.782,6,33,39,177,0.9,0.003,11,10
0.793,4,33,39,123,0.9,0.006,11,10
0.782,3,36,39,89,0.9,0.011,11,10
0.777,3,37,39,11,0.9,0.045,11,10
0.615,0,69,39,0,0.9,0.18,11,10
0.721,6,44,39,289,0.95,0.0,11,10
0.726,5,44,39,177,0.95,0.001,11,10
0.732,4,44,39,131,0.95,0.003,11,10
0.743,2,44,39,77,0.95,0.006,11,10
0.715,1,50,39,43,0.95,0.011,11,10
0.687,1,55,39,7,0.95,0.045,11,10
0.615,0,69,39,0,0.95,0.18,11,10
0.631,60,6,40,1215,0.5,0.0,11,11
0.631,60,6,40,1101,0.5,0.001,11,11
0.631,60,6,40,976,0.5,0.003,11,11
0.631,60,6,40,767,0.5,0.006,11,11
0.631,60,6,40,460,0.5,0.011,11,11
0.631,60,6,40,70,0.5,0.045,11,11
0.777,16,24,40,1,0.5,0.18,11,11
0.771,17,24,40,545,0.8,0.0,11,11
0.771,17,24,40,431,0.8,0.001,11,11
0.771,17,24,40,379,0.8,0.003,11,11
0.771,17,24,40,334,0.8,0.006,11,11
0.771,17,24,40,193,0.8,0.011,11,11
0.765,12,30,40,14,0.8,0.045,11,11
0.615,0,69,40,0,0.8,0.18,11,11
0.782,10,29,40,421,0.85,0.0,11,11
0.788,9,29,40,307,0.85,0.001,11,11
0.793,8,29,40,255,0.85,0.003,11,11
0.793,8,29,40,210,0.85,0.006,11,11
0.782,8,31,40,134,0.85,0.011,11,11
0.782,3,36,40,11,0.85,0.045,11,11
0.615,0,69,40,0,0.85,0.18,11,11
0.771,8,33,40,343,0.9,0.0,11,11
0.777,7,33,40,229,0.9,0.001,11,11
0.782,6,33,40,177,0.9,0.003,11,11
0.793,4,33,40,132,0.9,0.006,11,11
0.782,3,36,40,88,0.9,0.011,11,11
0.777,3,37,40,9,0.9,0.045,11,11
0.615,0,69,40,0,0.9,0.18,11,11
0.721,6,44,40,300,0.95,0.0,11,11
0.726,5,44,40,186,0.95,0.001,11,11
0.732,4,44,40,134,0.95,0.003,11,11
0.743,2,44,40,89,0.95,0.006,11,11
0.715,1,50,40,45,0.95,0.011,11,11
0.687,1,55,40,6,0.95,0.045,11,11
0.615,0,69,40,0,0.95,0.18,11,11
0.631,60,6,41,1233,0.5,0.0,11,12
0.631,60,6,41,1113,0.5,0.001,11,12
0.631,60,6,41,975,0.5,0.003,11,12
0.631,60,6,41,759,0.5,0.006,11,12
0.631,60,6,41,449,0.5,0.011,11,12
0.631,60,6,41,67,0.5,0.045,11,12
0.777,16,24,41,1,0.5,0.18,11,12
0.771,17,24,41,533,0.8,0.0,11,12
0.771,17,24,41,413,0.8,0.001,11,12
0.771,17,24,41,365,0.8,0.003,11,12
0.771,17,24,41,314,0.8,0.006,11,12
0.771,17,24,41,179,0.8,0.011,11,12
0.765,12,30,41,14,0.8,0.045,11,12
0.615,0,69,41,0,0.8,0.18,11,12
0.788,9,29,41,421,0.85,0.0,11,12
0.788,9,29,41,301,0.85,0.001,11,12
0.793,8,29,41,253,0.85,0.003,11,12
0.793,8,29,41,202,0.85,0.006,11,12
0.782,8,31,41,124,0.85,0.011,11,12
0.782,3,36,41,11,0.85,0.045,11,12
0.615,0,69,41,0,0.85,0.18,11,12
0.777,7,33,41,349,0.9,0.0,11,12
0.777,7,33,41,229,0.9,0.001,11,12
0.782,6,33,41,181,0.9,0.003,11,12
0.793,4,33,41,130,0.9,0.006,11,12
0.782,3,36,41,81,0.9,0.011,11,12
0.777,3,37,41,9,0.9,0.045,11,12
0.615,0,69,41,0,0.9,0.18,11,12
0.726,5,44,41,311,0.95,0.0,11,12
0.726,5,44,41,191,0.95,0.001,11,12
0.732,4,44,41,143,0.95,0.003,11,12
0.743,2,44,41,92,0.95,0.006,11,12
0.715,1,50,41,43,0.95,0.011,11,12
0.687,1,55,41,6,0.95,0.045,11,12
0.615,0,69,41,0,0.95,0.18,11,12
0.631,60,6,42,1221,0.5,0.0,11,13
0.631,60,6,42,1096,0.5,0.001,11,13
0.631,60,6,42,953,0.5,0.003,11,13
0.631,60,6,42,746,0.5,0.006,11,13
0.631,60,6,42,452,0.5,0.011,11,13
0.631,60,6,42,70,0.5,0.045,11,13
0.777,16,24,42,1,0.5,0.18,11,13
0.771,17,24,42,559,0.8,0.0,11,13
0.771,17,24,42,434,0.8,0.001,11,13
0.771,17,24,42,374,0.8,0.003,11,13
0.771,17,24,42,328,0.8,0.006,11,13
0.771,17,24,42,184,0.8,0.011,11,13
0.765,12,30,42,17,0.8,0.045,11,13
0.615,0,69,42,0,0.8,0.18,11,13
0.782,10,29,42,439,0.85,0.0,11,13
0.788,9,29,42,314,0.85,0.001,11,13
0.793,8,29,42,254,0.85,0.003,11,13
0.793,8,29,42,208,0.85,0.006,11,13
0.782,8,31,42,134,0.85,0.011,11,13
0.782,3,36,42,13,0.85,0.045,11,13
0.615,0,69,42,0,0.85,0.18,11,13
0.771,8,33,42,363,0.9,0.0,11,13
0.777,7,33,42,238,0.9,0.001,11,13
0.782,6,33,42,178,0.9,0.003,11,13
0.793,4,33,42,132,0.9,0.006,11,13
0.782,3,36,42,90,0.9,0.011,11,13
0.777,3,37,42,10,0.9,0.045,11,13
0.615,0,69,42,0,0.9,0.18,11,13
0.721,6,44,42,316,0.95,0.0,11,13
0.726,5,44,42,191,0.95,0.001,11,13
0.732,4,44,42,131,0.95,0.003,11,13
0.743,2,44,42,85,0.95,0.006,11,13
0.715,1,50,42,43,0.95,0.011,11,13
0.687,1,55,42,6,0.95,0.045,11,13
0.615,0,69,42,0,0.95,0.18,11,13
0.631,60,6,34,1128,0.5,0.0,12,4
0.631,60,6,34,1039,0.5,0.001,12,4
0.631,60,6,34,913,0.5,0.003,12,4
0.631,60,6,34,732,0.5,0.006,12,4
0.631,60,6,34,456,0.5,0.011,12,4
0.631,60,6,34,83,0.5,0.045,12,4
0.777,16,24,34,1,0.5,0.18,12,4
0.771,17,24,34,470,0.8,0.0,12,4
0.771,17,24,34,381,0.8,0.001,12,4
0.771,17,24,34,341,0.8,0.003,12,4
0.771,17,24,34,308,0.8,0.006,12,4
0.771,17,24,34,189,0.8,0.011,12,4
0.765,12,30,34,23,0.8,0.045,12,4
0.615,0,69,34,0,0.8,0.18,12,4
0.777,9,31,34,338,0.85,0.0,12,4
0.777,9,31,34,249,0.85,0.001,12,4
0.782,8,31,34,209,0.85,0.003,12,4
0.782,8,31,34,176,0.85,0.006,12,4
0.782,8,31,34,120,0.85,0.011,12,4
0.782,3,36,34,16,0.85,0.045,12,4
0.615,0,69,34,0,0.85,0.18,12,4
0.765,7,35,34,278,0.9,0.0,12,4
0.765,7,35,34,189,0.9,0.001,12,4
0.771,6,35,34,149,0.9,0.003,12,4
0.782,4,35,34,116,0.9,0.006,12,4
0.782,3,36,34,86,0.9,0.011,12,4
0.777,3,37,34,13,0.9,0.045,12,4
0.615,0,69,34,0,0.9,0.18,12,4
0.715,5,46,34,238,0.95,0.0,12,4
0.715,5,46,34,149,0.95,0.001,12,4
0.721,4,46,34,109,0.95,0.003,12,4
0.732,2,46,34,76,0.95,0.006,12,4
0.715,1,50,34,46,0.95,0.011,12,4
0.687,1,55,34,8,0.95,0.045,12,4
0.615,0,69,34,0,0.95,0.18,12,4
0.631,60,6,35,1181,0.5,0.0,12,5
0.631,60,6,35,1090,0.5,0.001,12,5
0.631,60,6,35,983,0.5,0.003,12,5
0.631,60,6,35,782,0.5,0.006,12,5
0.631,60,6,35,486,0.5,0.011,12,5
0.631,60,6,35,86,0.5,0.045,12,5
0.777,16,24,35,1,0.5,0.18,12,5
0.771,17,24,35,498,0.8,0.0,12,5
0.771,17,24,35,407,0.8,0.001,12,5
0.771,17,24,35,376,0.8,0.003,12,5
0.771,17,24,35,331,0.8,0.006,12,5
0.771,17,24,35,203,0.8,0.011,12,5
0.765,12,30,35,20,0.8,0.045,12,5
0.615,0,69,35,0,0.8,0.18,12,5
0.771,10,31,35,382,0.85,0.0,12,5
0.777,9,31,35,291,0.85,0.001,12,5
0.782,8,31,35,260,0.85,0.003,12,5
0.782,8,31,35,215,0.85,0.006,12,5
0.782,8,31,35,144,0.85,0.011,12,5
